Cycle,Timestep,"Cumulative Timestep","Time Interval(hrs)","NWOSCC(degrees)","SWOSCC(degrees)","NEOSCC(degrees)","SEOSCC(degrees)"
144B,9,554,24,96.18,98.02,101.07,101.22
144B,10,555,24,95.83,96.60,99.25,97.00
144B,11,556,24,97.42,95.70,102.70,98.62
144B,12,557,24,92.35,95.26,90.00,94.91
144B,13,558,24,93.82,96.82,89.81,95.18
144B,14,559,24,95.52,97.33,90.63,96.76
144B,15,560,24,96.16,98.40,91.10,97.50
144B,16,561,24,97.79,99.29,92.85,97.95
144B,17,562,24,99.41,99.29,93.88,99.38
144B,18,563,24,100.52,100.53,95.04,99.91
144B,19,564,24,101.54,101.47,96.39,100.78
144B,20,565,24,103.13,102.49,97.95,101.81
144B,21,566,24,104.65,102.38,101.00,103.50
144B,22,567,19,106.77,103.41,101.71,104.21
144B,23,568,66,106.77,103.41,101.71,104.21
144B,24,569,19,80.82,80.63,77.20,80.90
144B,25,570,24,106.89,103.67,102.26,104.81
144B,26,571,24,110.71,107.11,105.40,107.82
144B,27,572,24,105.07,106.09,103.89,106.99
144B,28,573,24,106.01,106.90,105.13,107.86
144B,29,574,24,108.35,107.94,106.60,109.50
144B,30,575,24,110.03,109.56,109.05,111.35
144B,31,576,24,110.80,110.10,108.93,109.93
144B,32,577,24,110.63,110.23,106.89,107.21
144B,33,578,24,111.69,111.68,108.83,108.68
144B,34,579,24,107.58,111.49,108.67,108.88
144B,35,580,24,110.85,113.67,108.75,110.80
144B,36,581,24,109.43,105.88,108.98,108.68
144B,37,582,24,109.23,104.75,108.70,106.04
144B,38,583,24,110.97,107.67,110.55,106.82
144B,39,584,24,109.94,108.28,104.76,106.43
144B,40,585,24,112.39,109.49,107.02,108.84
144B,41,586,24,110.61,109.08,107.63,110.39
144B,42,587,24,109.83,110.48,108.66,111.58
144B,43,588,24,112.06,112.75,111.06,114.09
144B,44,589,24,114.68,115.18,113.29,116.23
144B,45,590,24,114.80,115.28,111.14,114.03
144B,46,591,24,116.45,116.69,112.86,115.12
144B,47,592,24,118.52,119.89,114.96,118.62
144B,48,593,24,118.34,116.07,116.23,118.10
144B,49,594,24,113.18,114.22,114.49,118.93
144B,50,595,24,109.58,111.55,105.46,112.62
144B,51,596,24,110.78,114.19,106.67,113.85
144B,52,597,24,113.70,117.18,109.88,117.86
144B,53,598,24,115.38,116.43,112.25,119.82
144B,54,599,27,115.82,114.82,112.39,120.66
145A,1,600,11,53.15,50.94,53.12,56.04
145A,2,601,11,76.14,69.63,79.12,76.45
145A,3,602,24,88.60,83.43,89.86,92.21
145A,4,603,24,91.16,86.21,93.53,95.95
145A,5,604,24,89.47,85.79,95.98,96.49
145A,6,605,24,88.98,84.48,97.23,97.77
145A,7,606,24,89.24,85.28,96.66,98.80
145A,8,607,24,90.09,86.13,97.69,99.68
145A,9,608,24,91.66,86.01,100.11,100.50
145A,10,609,24,91.81,87.33,102.33,101.00
145A,11,610,24,92.66,87.87,103.67,101.33
145A,12,611,24,92.61,87.73,100.79,100.53
145A,13,612,24,91.96,89.69,97.45,98.75
145A,14,613,24,90.42,91.61,95.66,100.42
145A,15,614,24,90.43,89.80,92.96,95.33
145A,16,615,24,91.60,90.31,93.52,95.71
145A,17,616,24,92.60,90.83,94.48,96.37
145A,18,617,24,94.08,92.06,96.30,96.83
145A,19,618,24,94.45,92.71,97.21,97.31
145A,20,619,24,95.94,93.50,98.66,98.00
145A,21,620,24,95.76,94.10,96.67,97.35
145A,22,621,24,94.32,93.79,93.00,95.15
145A,23,622,24,94.09,92.91,91.53,91.10
145A,24,623,24,95.93,94.13,93.58,91.98
145A,25,624,24,97.88,94.25,94.85,93.25
145A,26,625,8,98.14,95.43,95.91,93.91
145A,27,626,43,98.14,95.43,95.91,93.91
145A,28,627,12,75.81,77.28,72.68,76.04
145A,29,628,10,85.64,85.41,83.44,83.03
145A,30,629,24,98.55,95.80,96.22,93.12
145A,31,630,24,98.04,96.87,98.45,94.63
145A,32,631,24,97.90,97.47,98.80,95.30
145A,33,632,24,99.15,99.10,100.67,95.97
145A,34,633,24,97.67,93.67,101.04,95.33
145A,35,634,25,99.39,95.34,102.95,96.50
145A,36,635,60,99.39,95.34,102.95,96.50
145A,37,636,11,69.07,70.00,68.36,69.72
145A,38,637,24,92.92,91.23,93.24,91.65
145A,39,638,18,100.19,97.37,99.78,97.30
145A,40,639,58,100.19,97.37,99.78,97.30
145A,41,640,8,66.89,67.56,65.99,67.28
145A,42,641,12,79.95,80.01,78.40,79.49
145A,43,642,24,99.20,97.17,99.12,95.79
145A,44,643,24,104.41,101.39,104.28,99.19
145A,45,644,24,106.61,103.06,105.82,100.94
145A,46,645,24,105.18,103.49,106.32,102.25
145A,47,646,24,102.75,104.34,104.75,102.46
145A,48,647,24,102.42,106.42,102.02,103.10
145A,49,648,24,100.72,101.33,102.90,103.49
145A,50,649,24,102.55,102.68,104.50,104.61
145A,51,650,24,101.90,103.48,100.19,103.33
145A,52,651,24,104.10,105.84,102.05,105.34
145A,53,652,24,104.80,105.42,102.87,106.60
145A,54,653,24,103.80,102.89,102.20,105.46
145A,55,654,24,104.39,104.02,102.51,104.92
145A,56,655,24,106.80,106.39,104.81,106.83
145A,57,656,24,106.23,105.66,103.84,105.48
145A,58,657,24,108.69,108.25,105.94,106.74
145A,59,658,24,111.18,110.81,108.58,108.68
145A,60,659,24,110.07,107.30,109.02,108.09
145A,61,660,24,109.40,108.26,110.78,109.94
145A,62,661,24,108.68,109.64,112.41,112.99
145A,63,662,29,110.66,112.77,115.78,114.42
